1. Fechamento de ruas ou grandes avenidas por conta de Festivais, Desfiles ou Obras da Prefeitura.
2. Interdição de praias, parques estaduais ou vias de acesso a monumentos públicos.
3. Alertas meteorológicos sérios emitidos pela Defesa Civil da cidade.
4. Novas restrições ou regras locais urgentes aplicadas a turistas.

REGRAS CRÍTICAS:
- Priorize fontes que terminem em .gov, sites de Prefeituras (City Hall) e Portais G1/Locais.
- Se não houver avisos novos locais ou críticos, responda estritamente: 'SEM_AVISOS_NOVOS'.
- Seja direto, útil, e cite a fonte se possível.' (Usuario: 5541988368783)
2026-03-03 11:30:04.618 | INFO     | app.agents.orchestrator:call_model:132 - ✅ RAG injetado no prompt diretamente (159 chars)
2026-03-03 11:30:09.594 | INFO     | app.agents.orchestrator:route_after_agent:265 - ➡️ Roteando para Tools...
2026-03-03 11:30:09.611 | INFO     | app.agents.tools:search_government_notices:321 - 🏛️ Tool: Buscando avisos governamentais para Lisboa
2026-03-03 11:30:09.612 | INFO     | app.services.serpapi_service:__init__:19 - ✅ SerpApi Service inicializado
2026-03-03 11:30:09.613 | INFO     | app.services.serpapi_service:search:132 - 🔍 Buscando no Google: official government travel alerts notices Lisboa avisos importantes para turistas site:gov
2026-03-03 11:30:17.385 | INFO     | app.agents.orchestrator:call_model:37 - 🤖 Acionando OpenAI Agent...
2026-03-03 11:30:20.211 | INFO     | app.services.rag_service:_load_data:41 - 📂 9 documentos carregados da memória.
2026-03-03 11:30:20.212 | INFO     | app.services.rag_service:__init__:29 - ✅ RAG Service NumPy inicializado (Base em: ./data/chroma_db\vector_data.json)
2026-03-03 11:30:20.212 | INFO     | app.services.rag_service:query:174 - 🔍 Buscando no RAG: '[PRIMEIRA MENSAGEM DO USUÁRIO - APRESENTE-SE DE GALA COMO SEVEN ASSISTANT CONCIERGE] Você é um especialista em turismo estratégico. Sua tarefa é buscar DE FORMA ATUALIZADA (hoje: 2026-03-03) no portal oficial da **Prefeitura de LISBON** ou na **Secretaria de Turismo Local** por AVISOS IMPORTANTES.

FOCO EXCLUSIVO EM NOTÍCIAS RELEVANTES PARA TURISTAS HOJE:
1. Fechamento de ruas ou grandes avenidas por conta de Festivais, Desfiles ou Obras da Prefeitura.
2. Interdição de praias, parques estaduais ou vias de acesso a monumentos públicos.
3. Alertas meteorológicos sérios emitidos pela Defesa Civil da cidade.
4. Novas restrições ou regras locais urgentes aplicadas a turistas.

REGRAS CRÍTICAS:
- Priorize fontes que terminem em .gov, sites de Prefeituras (City Hall) e Portais G1/Locais.
- Se não houver avisos novos locais ou críticos, responda estritamente: 'SEM_AVISOS_NOVOS'.
- Seja direto, útil, e cite a fonte se possível.' (Usuario: 5541988368783)
2026-03-03 11:30:21.130 | INFO     | app.agents.orchestrator:call_model:132 - ✅ RAG injetado no prompt diretamente (159 chars)
2026-03-03 11:30:23.653 | INFO     | app.agents.orchestrator:route_after_agent:275 - ✅ Finalizando Orquestração...
